Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,Month,Month Number,Quarter,Day,Day Name,Profit Margin (%),Sales Category,Discount Category
28.0,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7.0,0.5,-1665.0522,2015.0,September,9.0,3.0,17.0,Thursday,-54.0,High,High Discount
29.0,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2.0,0.7,-7.0532,2015.0,September,9.0,3.0,17.0,Thursday,-73.33,Low,High Discount
30.0,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3.0,0.2,15.525,2015.0,September,9.0,3.0,17.0,Thursday,12.5,Medium,Low Discount
31.0,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2.0,0.2,1.1016,2015.0,September,9.0,3.0,17.0,Thursday,33.75,Low,Low Discount
32.0,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6.0,0.2,9.7092,2015.0,September,9.0,3.0,17.0,Thursday,11.25,Low,Low Discount
33.0,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6.0,0.7,-5.715,2015.0,September,9.0,3.0,17.0,Thursday,-83.33,Low,High Discount
34.0,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2.0,0.2,3.546,2015.0,September,9.0,3.0,17.0,Thursday,22.5,Low,Low Discount
35.0,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Home Office,United States,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3.0,0.2,9.9468,2017.0,October,10.0,4.0,19.0,Thursday,33.75,Low,Low Discount
36.0,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Corporate,United States,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7.0,0.2,123.4737,2016.0,December,12.0,4.0,8.0,Thursday,11.25,High,Low Discount
37.0,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Corporate,United States,Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5.0,0.6,-147.963,2016.0,December,12.0,4.0,8.0,Thursday,-77.5,Medium,High Discount
38.0,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,United States,Houston,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9.0,0.2,35.415,2015.0,December,12.0,4.0,27.0,Sunday,31.25,Medium,Low Discount
39.0,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,United States,Houston,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3.0,0.32,-46.9764,2015.0,December,12.0,4.0,27.0,Sunday,-8.82,High,High Discount
40.0,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,United States,Houston,Texas,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3.0,0.3,-15.147,2015.0,December,12.0,4.0,27.0,Sunday,-7.14,Medium,High Discount
41.0,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,United States,Houston,Texas,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4.0,0.2,41.7564,2015.0,December,12.0,4.0,27.0,Sunday,11.25,Medium,Low Discount
42.0,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,Corporate,United States,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4.0,0.2,16.5564,2017.0,September,9.0,3.0,10.0,Sunday,11.25,Medium,Low Discount
43.0,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Corporate,United States,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2.0,0.0,3.894,2016.0,July,7.0,3.0,17.0,Sunday,5.0,Low,No Discount
44.0,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Corporate,United States,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2.0,0.2,9.5616,2017.0,September,9.0,3.0,19.0,Tuesday,10.0,Low,Low Discount
45.0,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Corporate,United States,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2.0,0.0,19.7714,2016.0,March,3.0,1.0,11.0,Friday,43.0,Low,No Discount
46.0,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Corporate,United States,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2.0,0.0,8.2062,2016.0,March,3.0,1.0,11.0,Friday,47.0,Low,No Discount
47.0,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Consumer,United States,Westland,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4.0,0.0,8.4784,2014.0,October,10.0,4.0,20.0,Monday,4.0,Medium,No Discount
48.0,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Consumer,United States,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3.0,0.0,4.95,2016.0,June,6.0,2.0,20.0,Monday,11.0,Low,No Discount
49.0,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Consumer,United States,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2.0,0.0,6.104,2016.0,June,6.0,2.0,20.0,Monday,28.0,Low,No Discount
50.0,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6.0,0.0,17.9634,2015.0,April,4.0,2.0,18.0,Saturday,47.0,Low,No Discount
51.0,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6.0,0.0,35.3346,2015.0,April,4.0,2.0,18.0,Saturday,47.0,Low,No Discount
52.0,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2.0,0.0,2.9568,2015.0,April,4.0,2.0,18.0,Saturday,48.0,Low,No Discount
53.0,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1.0,0.0,17.0981,2015.0,April,4.0,2.0,18.0,Saturday,19.0,Low,No Discount
54.0,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Corporate,United States,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7.0,0.0,6.2566,2016.0,December,12.0,4.0,11.0,Sunday,41.0,Low,No Discount
55.0,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Corporate,United States,New York City,New York,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5.0,0.0,298.6855,2016.0,December,12.0,4.0,11.0,Sunday,29.0,High,No Discount
56.0,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,United States,Troy,New York,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6.0,0.0,52.14,2016.0,June,6.0,2.0,17.0,Friday,25.0,Medium,No Discount
57.0,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,United States,Troy,New York,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5.0,0.0,15.552,2016.0,June,6.0,2.0,17.0,Friday,48.0,Low,No Discount
58.0,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,United States,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5.0,0.1,7.098,2016.0,June,6.0,2.0,17.0,Friday,2.22,Medium,Low Discount
59.0,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,United States,Troy,New York,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2.0,0.0,6.9888,2016.0,June,6.0,2.0,17.0,Friday,48.0,Low,No Discount
60.0,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,United States,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2.0,0.0,3.3,2016.0,June,6.0,2.0,17.0,Friday,11.0,Low,No Discount
61.0,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,United States,Troy,New York,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4.0,0.2,16.362,2016.0,June,6.0,2.0,17.0,Friday,33.75,Low,Low Discount
62.0,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,United States,Troy,New York,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1.0,0.0,0.84,2016.0,June,6.0,2.0,17.0,Friday,50.0,Low,No Discount
63.0,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2.0,0.0,6.1512,2015.0,November,11.0,4.0,24.0,Tuesday,44.0,Low,No Discount
64.0,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6.0,0.2,9.3612,2015.0,November,11.0,4.0,24.0,Tuesday,36.25,Low,Low Discount
65.0,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3.0,0.0,68.9631,2015.0,November,11.0,4.0,24.0,Tuesday,47.0,Medium,No Discount
66.0,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4.0,0.0,22.3328,2015.0,November,11.0,4.0,24.0,Tuesday,28.0,Low,No Discount
67.0,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Home Office,United States,Chicago,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5.0,0.3,-15.2225,2015.0,April,4.0,2.0,30.0,Thursday,-7.14,Medium,High Discount
68.0,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Corporate,United States,Gilbert,Arizona,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8.0,0.2,111.3024,2014.0,December,12.0,4.0,5.0,Friday,10.0,High,Low Discount
69.0,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Corporate,United States,Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4.0,0.2,62.988,2014.0,December,12.0,4.0,5.0,Friday,37.5,Medium,Low Discount
70.0,CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,Consumer,United States,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2.0,0.0,35.6636,2016.0,June,6.0,2.0,4.0,Saturday,47.0,Low,No Discount
71.0,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,Consumer,United States,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1.0,0.2,1.731,2016.0,September,9.0,3.0,18.0,Sunday,37.5,Low,Low Discount
72.0,CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,Consumer,United States,Jackson,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3.0,0.0,8.763,2017.0,September,9.0,3.0,14.0,Thursday,46.0,Low,No Discount
73.0,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,United States,Memphis,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8.0,0.2,-114.3912,2015.0,April,4.0,2.0,26.0,Sunday,-13.75,High,Low Discount
74.0,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,United States,Memphis,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2.0,0.2,1.213,2015.0,April,4.0,2.0,26.0,Sunday,1.25,Low,Low Discount
75.0,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Consumer,United States,Memphis,Tennessee,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1.0,0.2,-18.196,2015.0,April,4.0,2.0,26.0,Sunday,-25.0,Low,Low Discount
76.0,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,United States,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3.0,0.8,-1.9344,2017.0,December,12.0,4.0,9.0,Saturday,-155.0,Low,High Discount
77.0,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,United States,Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3.0,0.6,-5.8248,2017.0,December,12.0,4.0,9.0,Saturday,-60.0,Low,High Discount
78.0,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Corporate,United States,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3.0,0.2,2.724,2017.0,December,12.0,4.0,9.0,Saturday,10.0,Low,Low Discount
79.0,US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,Consumer,United States,Houston,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5.0,0.6,-14.475,2014.0,November,11.0,4.0,26.0,Wednesday,-75.0,Low,High Discount
80.0,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,Corporate,United States,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1.0,0.0,56.2032,2016.0,June,6.0,2.0,12.0,Sunday,27.0,Medium,No Discount
81.0,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,Corporate,United States,Decatur,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3.0,0.0,8.0352,2016.0,June,6.0,2.0,12.0,Sunday,48.0,Low,No Discount
82.0,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Consumer,United States,San Francisco,California,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5.0,0.0,4.172,2014.0,October,10.0,4.0,12.0,Sunday,28.0,Low,No Discount
83.0,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Consumer,United States,San Francisco,California,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1.0,0.0,6.2031,2014.0,October,10.0,4.0,12.0,Sunday,29.0,Low,No Discount
84.0,CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,Corporate,United States,Durham,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7.0,0.2,62.8075,2015.0,September,9.0,3.0,3.0,Thursday,31.25,Medium,Low Discount
85.0,US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,Home Office,United States,Chicago,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3.0,0.2,-48.9549,2017.0,November,11.0,4.0,13.0,Monday,-21.25,Medium,Low Discount
86.0,CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,Consumer,United States,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2.0,0.0,33.2156,2017.0,May,5.0,2.0,28.0,Sunday,11.0,Medium,No Discount
87.0,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Consumer,United States,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1.0,0.0,6.7966,2017.0,October,10.0,4.0,26.0,Thursday,34.0,Low,No Discount
